# Data for the a4a model 
# Full age range
 0 6 
# Full year range
 1982 2012 
# Number of surveys
 3 
# Survey min ages
 0 0 0 
# Survey max ages
 4 4 4 
# Survey time as a fraction into the year (one for each survey)
 0.625 0.625 0.625 
# fbar range
 2 5 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 547 
# Observation data frame 
# fleet	year	age	observation	weights
2	1999	2	5.54192244282274	1
2	1999	3	-14.7319263984863	1
2	1999	4	-14.7319263984863	1
2	2000	0	8.97145033111112	1
2	2000	1	7.60297493443767	1
2	2000	2	5.16808357255312	1
2	2000	3	-14.7319263984863	1
2	2000	4	-14.7319263984863	1
2	2001	0	9.18711038961319	1
2	2001	1	7.76798526987809	1
2	2001	2	4.89472515245465	1
2	2001	3	3.27323890150437	1
2	2001	4	-14.7319263984863	1
2	2002	0	10.8064058156768	1
2	2002	1	7.32739258314323	1
2	2002	2	4.88267681393847	1
2	2002	3	2.34168069749943	1
2	2002	4	-14.7319263984863	1
2	2003	0	8.90504787653549	1
2	2003	1	7.22681090984539	1
2	2003	2	4.24263945869248	1
2	2003	3	2.34168069749943	1
2	2003	4	-14.7319263984863	1
2	2004	0	10.4886459785722	1
2	2004	1	7.50558716389044	1
2	2004	2	4.00356508530607	1
2	2004	3	-14.7319263984863	1
2	2004	4	-14.7319263984863	1
2	2005	0	10.7222098275713	1
2	2005	1	7.83448047317968	1
2	2005	2	4.63010484203418	1
2	2005	3	-14.7319263984863	1
2	2005	4	-14.7319263984863	1
2	2006	0	11.3652465359577	1
2	2006	1	7.72033658595183	1
2	2006	2	5.21045334359213	1
2	2006	3	-14.7319263984863	1
2	2006	4	-14.7319263984863	1
2	2007	0	11.3164285619961	1
2	2007	1	8.67022663631533	1
2	2007	2	5.41598293797175	1
2	2007	3	2.42025013108836	1
2	2007	4	-14.7319263984863	1
2	2008	0	10.2197757820929	1
2	2008	1	8.329856351739	1
2	2008	2	5.41326050072782	1
2	2008	3	-14.7319263984863	1
2	2008	4	-14.7319263984863	1
2	2009	0	10.6457692022353	1
2	2009	1	8.85096557901709	1
2	2009	2	5.34373907285611	1
2	2009	3	3.24090352086144	1
2	2009	4	-14.7319263984863	1
2	2010	0	10.0896013179662	1
2	2010	1	8.84845885918258	1
2	2010	2	5.42235490052056	1
2	2010	3	-14.7319263984863	1
2	2010	4	-14.7319263984863	1
2	2011	0	9.92895026541558	1
2	2011	1	7.99671723777728	1
2	2011	2	5.44159972119487	1
2	2011	3	-14.7319263984863	1
2	2011	4	-14.7319263984863	1
2	2012	0	9.94404746902861	1
2	2012	1	8.63131777239206	1
2	2012	2	5.40973363263305	1
2	2012	3	-14.7319263984863	1
2	2012	4	-14.7319263984863	1
3	1983	0	8.45943720098742	1
3	1983	1	5.69569485839801	1
3	1983	2	4.04257719061029	1
3	1983	3	0.479882906918893	1
3	1983	4	-0.181515575326471	1
3	1984	0	9.25519314271953	1
3	1984	1	5.33329829981398	1
3	1984	2	3.66996093023364	1
3	1984	3	-0.602729040402775	1
3	1984	4	-17.4627620360905	1
3	1985	0	7.87030325522769	1
3	1985	1	5.26616424003127	1
3	1985	2	2.83279308380045	1
3	1985	3	-17.4627620360905	1
3	1985	4	-17.4627620360905	1
3	1986	0	8.74529243555697	1
3	1986	1	5.02214764617937	1
3	1986	2	3.16729141913376	1
3	1986	3	-1.45002690078998	1
3	1986	4	-17.4627620360905	1
3	1988	0	9.20995293326768	1
3	1988	1	4.99410435591046	1
3	1988	2	2.98211177531125	1
3	1988	3	0.113948637567364	1
3	1988	4	-1.24935620532783	1
3	1989	0	9.43660597060554	1
3	1989	1	5.08424631593704	1
3	1989	2	2.79846834125938	1
3	1989	3	-0.246054096464043	1
3	1989	4	-17.4627620360905	1
3	1990	0	7.64264292920217	1
3	1990	1	4.90144038034941	1
3	1990	2	2.93060987959485	1
3	1990	3	0.244568819984428	1
3	1990	4	-17.4627620360905	1
3	1991	0	8.35412515900702	1
3	1991	1	4.44253769766312	1
3	1991	2	2.80637352076649	1
3	1991	3	-0.351414612121869	1
3	1991	4	-17.4627620360905	1
3	1992	0	7.25752950055401	1
3	1992	1	4.77760710208724	1
3	1992	2	2.06977622328002	1
3	1992	3	-0.0637325396700885	1
3	1992	4	-17.4627620360905	1
3	1993	0	7.59313008523469	1
3	1993	1	4.49277247433672	1
3	1993	2	2.31375386149708	1
3	1993	3	-0.120890953510037	1
3	1993	4	-17.4627620360905	1
3	1994	0	8.74523434210118	1
3	1994	1	4.6057157168746	1
3	1994	2	2.01917520998623	1
3	1994	3	-17.4627620360905	1
3	1994	4	-1.34466638513215	1
3	1995	0	7.50329710341564	1
3	1995	1	5.62343112285615	1
3	1995	2	2.74298918893915	1
3	1995	3	-0.556209024767882	1
3	1995	4	-1.56780993644636	1
3	1996	0	9.08750930236331	1
3	1996	1	4.84380305568034	1
3	1996	2	3.21968180633568	1
3	1996	3	-0.315046967950994	1
3	1996	4	-17.4627620360905	1
3	1997	0	9.29056386572328	1
3	1997	1	4.95575236970315	1
3	1997	2	1.96587662826187	1
3	1997	3	-0.651519204572207	1
3	1997	4	-1.34466638513215	1
3	1998	0	7.48635896528025	1
3	1998	1	5.22593642592391	1
3	1998	2	2.39300323315122	1
3	1998	3	-1.45002690078998	1
3	1998	4	-17.4627620360905	1
3	1999	0	7.76686970978543	1
3	1999	1	4.68770015329626	1
3	1999	2	2.35416339983495	1
3	1999	3	-0.469197647778253	1
3	1999	4	-17.4627620360905	1
3	2000	0	7.3710989376638	1
3	2000	1	4.95868492312443	1
3	2000	2	2.23048430365344	1
3	2000	3	0.447093084095902	1
3	2000	4	-17.4627620360905	1
3	2001	0	6.90837895216581	1
3	2001	1	4.49626592767128	1
3	2001	2	1.51753449579732	1
3	2001	3	-1.45002690078998	1
3	2001	4	-17.4627620360905	1
3	2002	0	7.24577726802368	1
3	2002	1	4.41328856841244	1
3	2002	2	1.9210930256349	1
3	2002	3	-17.4627620360905	1
3	2002	4	-17.4627620360905	1
3	2003	0	7.75162023874252	1
3	2003	1	4.45503214635387	1
3	2003	2	2.01223073763342	1
3	2003	3	-17.4627620360905	1
3	2003	4	-17.4627620360905	1
3	2004	0	8.41612216609078	1
3	2004	1	4.4819235187856	1
3	2004	2	1.73264587541426	1
3	2004	3	0.09041814015717	1
3	2004	4	-17.4627620360905	1
3	2005	0	9.08182039130165	1
3	2005	1	5.19780557537465	1
3	2005	2	2.33416273312828	1
3	2005	3	-0.0637325396700885	1
3	2005	4	-17.4627620360905	1
3	2006	0	8.62827491400501	1
3	2006	1	5.52686495787111	1
3	2006	2	2.33955363063901	1
3	2006	3	-0.362377822430954	1
3	2006	4	-17.4627620360905	1
3	2007	0	8.28412770983284	1
3	2007	1	4.9786167299157	1
3	2007	2	2.80005438441501	1
3	2007	3	-17.4627620360905	1
3	2007	4	-17.4627620360905	1
3	2008	0	7.76049123316339	1
3	2008	1	5.36938277818939	1
3	2008	2	3.24335764202097	1
3	2008	3	0.159411011644122	1
3	2008	4	-0.756879720230033	1
3	2009	0	9.9675535282129	1
3	2009	1	6.75970167956541	1
3	2009	2	4.58100552142582	1
3	2009	3	1.66002562979331	1
3	2009	4	-17.4627620360905	1
3	2010	0	8.49200538861569	1
3	2010	1	5.75970775534476	1
3	2010	2	3.74243600096695	1
3	2010	3	0.738518142826518	1
3	2010	4	-1.88939356057382	1
3	2011	0	8.69915207832061	1
3	2011	1	5.54203888890168	1
3	2011	2	3.59074236272163	1
3	2011	3	1.39164728124292	1
3	2011	4	-17.4627620360905	1
3	2012	0	8.90956535914829	1
3	2012	1	5.80004067129505	1
3	2012	2	2.74282138962674	1
3	2012	3	-1.11355466416877	1
3	2012	4	-1.70134132907088	1
4	1989	0	5.88297357429968	1
4	1989	1	5.8940174026716	1
4	1989	2	1.86409307538502	1
4	1989	3	-0.530007126444802	1
4	1989	4	-18.216718695317	1
4	1990	0	7.29301335873975	1
4	1990	1	6.11109344727763	1
4	1990	2	1.95142125896687	1
4	1990	3	-0.489185131924546	1
4	1990	4	-18.216718695317	1
4	1991	0	7.36588656593663	1
4	1991	1	6.67380133923886	1
4	1991	2	2.632298346935	1
4	1991	3	0.193911712781897	1
4	1991	4	-18.216718695317	1
4	1992	0	5.85025664341897	1
4	1992	1	6.10092359008634	1
4	1992	2	2.71518600674077	1
4	1992	3	-0.0317602848856713	1
4	1992	4	-18.216718695317	1
4	1993	0	6.12256016025627	1
4	1993	1	5.31787569218516	1
4	1993	2	2.14701096540968	1
4	1993	3	-0.358156869518143	1
4	1993	4	-2.00331286455432	1
4	1994	0	6.70042024656644	1
4	1994	1	5.99889454648031	1
4	1994	2	1.43067433993082	1
4	1994	3	-0.663538519069324	1
4	1994	4	-0.211553395326267	1
4	1995	0	5.72101325800895	1
4	1995	1	6.59654895441741	1
4	1995	2	2.58904836314119	1
4	1995	3	0.0874282323794473	1
4	1995	4	-18.216718695317	1
4	1996	0	5.58680437025312	1
4	1996	1	5.36387904544741	1
4	1996	2	2.46780631331301	1
4	1996	3	-2.32176659567286	1
4	1996	4	-18.216718695317	1
4	1997	0	7.10295908594364	1
4	1997	1	7.17219134985913	1
4	1997	2	3.20418422746224	1
4	1997	3	-18.216718695317	1
4	1997	4	-18.216718695317	1
4	1998	0	7.1049142389978	1
4	1998	1	6.26795653774791	1
4	1998	2	3.21507542422769	1
4	1998	3	-3.30259584868458	1
4	1998	4	-18.216718695317	1
4	1999	0	5.44496804847032	1
4	1999	1	5.95099556528591	1
4	1999	2	1.48489589409746	1
4	1999	3	-0.274073752307601	1
4	1999	4	-18.216718695317	1
4	2000	0	6.6446374201289	1
4	2000	1	6.16455493207629	1
4	2000	2	2.65926822864711	1
4	2000	3	-0.874847612736531	1
4	2000	4	-18.216718695317	1
4	2001	0	7.26266001017667	1
4	2001	1	6.36274026209692	1
4	2001	2	2.00236606058212	1
4	2001	3	-1.69315793625048	1
4	2001	4	-18.216718695317	1
4	2002	0	6.77083136482177	1
4	2002	1	6.30513265583144	1
4	2002	2	2.35688636707504	1
4	2002	3	-18.216718695317	1
4	2002	4	-18.216718695317	1
4	2003	0	5.27116669421955	1
4	2003	1	5.69566454433337	1
4	2003	2	2.3809839186541	1
4	2003	3	-2.00331286455432	1
4	2003	4	-18.216718695317	1
4	2004	0	6.95382298234455	1
4	2004	1	5.95682036093819	1
4	2004	2	2.78342101536462	1
4	2004	3	-0.306863575130592	1
4	2004	4	-1.62861941511291	1
4	2005	0	7.57443195652639	1
4	2005	1	6.67692639012754	1
4	2005	2	2.89993966850334	1
4	2005	3	-0.340765126806273	1
4	2005	4	-18.216718695317	1
4	2006	0	6.74888058156499	1
4	2006	1	6.596783275807	1
4	2006	2	3.28081337347418	1
4	2006	3	-1.03391230736622	1
4	2006	4	-18.216718695317	1
4	2007	0	8.1747611588528	1
4	2007	1	6.87063890366696	1
4	2007	2	3.23070837571856	1
4	2007	3	-0.845860075863279	1
4	2007	4	-0.817689198896582	1
4	2008	0	7.61253503887257	1
4	2008	1	7.37927577125766	1
4	2008	2	3.95558153257052	1
4	2008	3	0.152668754247848	1
4	2008	4	-18.216718695317	1
4	2009	0	8.33747021455022	1
4	2009	1	7.39312223985743	1
4	2009	2	3.6564860574629	1
4	2009	3	-0.152712895303333	1
4	2009	4	-18.216718695317	1
4	2010	0	8.18592079675555	1
4	2010	1	7.30555564453916	1
4	2010	2	3.80291679522135	1
4	2010	3	0.262230956759375	1
4	2010	4	-0.663538519069324	1
